127.0.0.1 - - [27/Dec/2023:19:16:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:16:53 +0530] "GET /Cbse-App/ HTTP/1.1" 200 7943
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:16:53 +0530] "GET /Cbse-App/all_component/style.css HTTP/1.1" 200 21763
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:16:54 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:17:16 +0530] "POST /Cbse-App/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:17:16 +0530] "GET /Cbse-App/index.jsp HTTP/1.1" 200 8029
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:17:30 +0530] "POST /Cbse-App/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:17:30 +0530] "GET /Cbse-App/index.jsp HTTP/1.1" 200 8029
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:17:42 +0530] "POST /Cbse-App/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:17:42 +0530] "GET /Cbse-App/index.jsp HTTP/1.1" 200 8029
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:17:50 +0530] "GET /Cbse-App/home.jsp HTTP/1.1" 200 13118
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:17:51 +0530] "GET /Cbse-App/all_component/images/logo.png HTTP/1.1" 200 76236
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:17:51 +0530] "GET /Cbse-App/all_component/images/cbse_name.png HTTP/1.1" 200 53396
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:17:51 +0530] "GET /Cbse-App/all_component/images/bnr8.jpg HTTP/1.1" 200 131679
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:17:55 +0530] "GET /Cbse-App/studentreg.jsp HTTP/1.1" 200 11511
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:18:34 +0530] "POST /Cbse-App/studentregistration HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:19:28 +0530] "POST /Cbse-App/studentregistration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:19:28 +0530] "GET /Cbse-App/studentreg.jsp HTTP/1.1" 200 11731
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:19:56 +0530] "GET /Cbse-App/studentreg.jsp HTTP/1.1" 200 11511
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:32:45 +0530] "POST /Cbse-App/studentregistration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:32:45 +0530] "GET /Cbse-App/studentreg.jsp HTTP/1.1" 200 11612
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:40:30 +0530] "GET /Cbse-App/studentreg.jsp HTTP/1.1" 200 11511
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:40:30 +0530] "GET /Cbse-App/all_component/style.css HTTP/1.1" 200 21763
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:40:30 +0530] "GET /Cbse-App/all_component/images/bnr8.jpg HTTP/1.1" 200 131679
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:40:30 +0530] "GET /Cbse-App/all_component/style.css HTTP/1.1" 200 21763
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:40:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:41:01 +0530] "POST /Cbse-App/studentregistration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:19:41:01 +0530] "GET /Cbse-App/studentreg.jsp HTTP/1.1" 200 11615
0:0:0:0:0:0:0:1 - - [27/Dec/2023:20:23:03 +0530] "GET /Cbse-App/studentsdetails.jsp HTTP/1.1" 200 10701
0:0:0:0:0:0:0:1 - - [27/Dec/2023:20:23:03 +0530] "GET /Cbse-App/all_component/images/profile-icon-images-25.jpg HTTP/1.1" 200 19492
